"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","GeneRatio"
"GO:0019814",2.66000777574598e-34,1,96,128,"immunoglobulin complex","CC",5.30405550483749e-31,0.0223985067662156
"GO:0071735",1.43280610781374e-07,1,11,11,"IgG immunoglobulin complex","CC",0.00014285076894903,0.0025664955669622
"GO:0032991",2.11583143169482e-05,0.999982181631537,1459,5420,"protein-containing complex","CC",0.0140632262493316,0.340410639290714
"GO:0071753",7.48970707739809e-05,0.999997480511073,8,9,"IgM immunoglobulin complex","CC",0.0343254230687812,0.00186654223051797
"GO:0042571",8.60717729909258e-05,0.999994785037867,9,11,"immunoglobulin complex, circulating","CC",0.0343254230687812,0.00209986000933271
"GO:0005576",0.000137499240763365,0.999883964225797,969,3573,"extracellular region","CC",0.0454554221661892,0.226084927671489
"GO:0098802",0.000159572695668668,0.999908287689819,84,237,"plasma membrane signaling receptor complex","CC",0.0454554221661892,0.0195986934204386
"GO:0031982",0.000213054244595469,0.999818960846527,1001,3689,"vesicle","CC",0.0531037704654206,0.23355109659356
"GO:0042101",0.000352299642225828,0.999852867292709,34,82,"T cell receptor complex","CC",0.0729240044306036,0.00793280447970135
"GO:0016234",0.00036571717367404,0.999856027289748,31,70,"inclusion body","CC",0.0729240044306036,0.00723285114325712
"GO:0012505",0.000444626603024545,0.999615414114821,1208,4499,"endomembrane system","CC",0.0805986769482675,0.281847876808213
"GO:0048471",0.000697496395169781,0.999485218180941,209,687,"perinuclear region of cytoplasm","CC",0.111769237055571,0.0487634157722818
"GO:0071742",0.000777014207123734,1,5,5,"IgE immunoglobulin complex","CC",0.111769237055571,0.00116658889407373
"GO:0005581",0.000784738876017049,0.999666274780862,32,75,"collagen trimer","CC",0.111769237055571,0.00746616892207186
"GO:0071745",0.00100454639286823,0.999924577082932,7,9,"IgA immunoglobulin complex","CC",0.123449433653371,0.00163322445170322
"GO:0072562",0.0010163784159662,0.999477475253303,46,124,"blood microparticle","CC",0.123449433653371,0.0107326178254783
"GO:0016604",0.00105247761891038,0.999192415419393,256,860,"nuclear body","CC",0.123449433653371,0.0597293513765749
"GO:0005654",0.0021221507485767,0.998139205191757,1093,4090,"nucleoplasm","CC",0.235087144036774,0.255016332244517
"GO:0005813",0.00240760497663173,0.998154389333769,218,732,"centrosome","CC",0.241851235166917,0.0508632757816146
"GO:0001772",0.00242578972083166,0.999093354271626,21,47,"immunological synapse","CC",0.241851235166917,0.00489967335510966
"GO:0071944",0.00322552871644875,0.997128959761682,1444,5472,"cell periphery","CC",0.287279890353589,0.336910872608493
"GO:0071738",0.00325469418687874,1,4,4,"IgD immunoglobulin complex","CC",0.287279890353589,0.000933271115258983
"GO:0098644",0.00341255523541589,0.999021644927554,14,27,"complex of collagen trimers","CC",0.287279890353589,0.00326644890340644
"GO:0032021",0.00366119470560685,1,4,4,"NELF complex","CC",0.287279890353589,0.000933271115258983
"GO:0036454",0.00372670874519543,0.999673533838991,6,8,"growth factor complex","CC",0.287279890353589,0.00139990667288847
"GO:0005815",0.00374587620320628,0.997022012360224,267,920,"microtubule organizing center","CC",0.287279890353589,0.0622958469435371
"GO:0140513",0.00402479541745558,0.996704134828491,348,1234,"nuclear protein-containing complex","CC",0.297238594903941,0.0811945870275315
"GO:0005886",0.00424438646579423,0.996218275124383,1336,5055,"plasma membrane","CC",0.302260950456917,0.3117125524965
"GO:0035976",0.0044501557274364,0.999768528092438,5,6,"transcription factor AP-1 complex","CC",0.305986569672696,0.00116658889407373
"GO:0031981",0.00507807321046417,0.995485039097294,1173,4433,"nuclear lumen","CC",0.337522599388852,0.273681754549697
"GO:0098591",0.00530174463376324,0.999711004423015,5,6,"external side of apical plasma membrane","CC",0.341021896765287,0.00116658889407373
"GO:0101002",0.00632082701850131,0.996054240394584,60,181,"ficolin-1-rich granule","CC",0.393866533590363,0.0139990667288847
"GO:0005622",0.00666748448889214,0.994214338475836,3420,13480,"intracellular anatomical structure","CC",0.402877699116695,0.79794680354643
"GO:0016020",0.00736008393681486,0.993351200414534,2170,8409,"membrane","CC",0.431647275588495,0.506299580027998
"GO:0097431",0.00860767693582166,0.996685085204891,17,39,"mitotic spindle pole","CC",0.489345265129668,0.00396640223985068
"GO:0005802",0.00939761882372648,0.993533799965597,84,265,"trans-Golgi network","CC",0.489345265129668,0.0195986934204386
"GO:0001650",0.00995206601431299,0.993822279294394,53,158,"fibrillar center","CC",0.489345265129668,0.0123658422771815
"GO:0031410",0.0103646138079276,0.990951062668368,637,2367,"cytoplasmic vesicle","CC",0.489345265129668,0.148623425104993
"GO:0005833",0.0104981254906389,0.998966269038068,5,7,"hemoglobin complex","CC",0.489345265129668,0.00116658889407373
"GO:1903561",0.0105833405277024,0.990859636941698,529,1965,"extracellular vesicle","CC",0.489345265129668,0.123425104993
"GO:0034774",0.0106298944415544,0.992483617291376,93,305,"secretory granule lumen","CC",0.489345265129668,0.0216985534297713
"GO:0043230",0.0109701376077802,0.990519022346551,529,1966,"extracellular organelle","CC",0.489345265129668,0.123425104993
"GO:0065010",0.0109701376077802,0.990519022346551,529,1966,"extracellular membrane-bounded organelle","CC",0.489345265129668,0.123425104993
"GO:0098895",0.0110215829051814,0.998485042597695,6,9,"postsynaptic endosome membrane","CC",0.489345265129668,0.00139990667288847
"GO:0097708",0.011279965191366,0.990136257145142,638,2373,"intracellular vesicle","CC",0.489345265129668,0.148856742883808
"GO:0005829",0.011288807520544,0.989808832444619,1362,5206,"cytosol","CC",0.489345265129668,0.317778814745684
"GO:0060205",0.0119197347551991,0.991508662635087,94,310,"cytoplasmic vesicle lumen","CC",0.495259224247399,0.0219318712085861
"GO:0030130",0.0119219873439695,0.997038791643813,9,17,"clathrin coat of trans-Golgi network vesicle","CC",0.495259224247399,0.00209986000933271
"GO:0070062",0.0128059740495132,0.988909764525109,521,1939,"extracellular exosome","CC",0.514720816463929,0.121558562762483
"GO:0031983",0.0133150167185039,0.990464679827439,94,311,"vesicle lumen","CC",0.514720816463929,0.0219318712085861
"GO:0071754",0.0136317678553233,1,3,3,"IgM immunoglobulin complex, circulating","CC",0.514720816463929,0.000699953336444237
"GO:0071756",0.0136317678553233,1,3,3,"pentameric IgM immunoglobulin complex","CC",0.514720816463929,0.000699953336444237
"GO:0044300",0.0136811450715086,0.998550243836942,5,7,"cerebellar mossy fiber","CC",0.514720816463929,0.00116658889407373
"GO:0005594",0.0142141257996853,1,3,3,"collagen type IX trimer","CC",0.524869756380971,0.000699953336444237
"GO:0070939",0.0151901755992217,1,3,3,"Dsl1/NZR complex","CC",0.547441896490727,0.000699953336444237
"GO:0032588",0.0153744965915149,0.991042747970801,38,109,"trans-Golgi network membrane","CC",0.547441896490727,0.00886607559496034
"GO:0061908",0.0166289495358628,1,3,3,"phagophore","CC",0.581721497798427,0.000699953336444237
"GO:0070418",0.0173138163751478,0.998880738733864,4,5,"DNA-dependent protein kinase complex","CC",0.595237066414563,0.000933271115258983
"GO:0016607",0.0179448810735792,0.986415373693337,123,413,"nuclear speck","CC",0.606476150181641,0.0286980867942137
"GO:0098588",0.0185662216257129,0.983711620673364,574,2133,"bounding membrane of organelle","CC",0.617017432027858,0.133924405039664
"GO:0110165",0.0199968145106459,0.992223267123741,4010,16030,"cellular anatomical structure","CC",0.653666362856197,0.93560429304713
"GO:0008023",0.0209298746727822,0.990335621666599,19,48,"transcription elongation factor complex","CC",0.661624867439579,0.00443303779748017
"GO:0030426",0.0210899306780838,0.98617767579185,54,165,"growth cone","CC",0.661624867439579,0.0125991600559963
"GO:0032039",0.0212357028666665,0.993948478435915,9,18,"integrator complex","CC",0.661624867439579,0.00209986000933271
"GO:0140168",0.0218319290641663,0.983100805139486,136,464,"nuclear ribonucleoprotein granule","CC",0.669736408522272,0.0317312179188054
"GO:0030660",0.0237863531500358,0.988506478960718,20,53,"Golgi-associated vesicle membrane","CC",0.718636184563202,0.00466635557629491
"GO:0120103",0.0245173540878333,0.99540002252797,6,10,"centriolar subdistal appendage","CC",0.729665732106561,0.00139990667288847
"GO:0030427",0.025386306280222,0.983073320189245,55,170,"site of polarized growth","CC",0.739264676310112,0.012832477834811
"GO:0009986",0.0266379579441767,0.977958393580835,231,825,"cell surface","CC",0.739264676310112,0.0538964069062062
"GO:0005737",0.0267394341140778,0.975620165772262,2829,11123,"cytoplasm","CC",0.739264676310112,0.660055996266916
"GO:0160232",0.0268979172544323,0.992614017003404,8,16,"INTAC complex","CC",0.739264676310112,0.00186654223051797
"GO:0005794",0.02691268181806,0.976615605693731,430,1579,"Golgi apparatus","CC",0.739264676310112,0.100326644890341
"GO:0015630",0.0270643537465588,0.97664508337474,387,1415,"microtubule cytoskeleton","CC",0.739264676310112,0.0902939804013066
"GO:0072686",0.0284409473376311,0.980643028543015,58,184,"mitotic spindle","CC",0.76422131911847,0.0135324311712552
"GO:0005814",0.0287445330661411,0.980898384442062,52,161,"centriole","CC",0.76422131911847,0.0121325244983668
"GO:0016235",0.0303663650501062,0.98726911070195,14,34,"aggresome","CC",0.786403179357113,0.00326644890340644
"GO:0009897",0.0306711221090221,0.976722978849053,105,359,"external side of plasma membrane","CC",0.786403179357113,0.0244983667755483
"GO:0005615",0.0307620100250024,0.972417066430761,726,2776,"extracellular space","CC",0.786403179357113,0.169388707419505
"GO:0120281",0.0315618781756423,0.994903496138302,5,8,"autolysosome membrane","CC",0.789887665184684,0.00116658889407373
"GO:0070552",0.0320394621888784,0.996263248214412,4,6,"BRISC complex","CC",0.789887665184684,0.000933271115258983
"GO:0097486",0.0320867105716948,0.996255835237589,4,6,"multivesicular body lumen","CC",0.789887665184684,0.000933271115258983
"GO:0005614",0.0328544433486745,0.989562616301888,9,19,"interstitial matrix","CC",0.798923902893377,0.00209986000933271
"GO:0000139",0.0332798211798924,0.972779355113429,190,671,"Golgi membrane","CC",0.799517631719342,0.0443303779748017
"GO:0030121",0.03376087545727,0.992601268529586,6,11,"AP-1 adaptor complex","CC",0.799917652509961,0.00139990667288847
"GO:1904813",0.034098796621538,0.978500700270945,39,121,"ficolin-1-rich granule lumen","CC",0.799917652509961,0.00909939337377508
"GO:0019815",0.0348183114238624,0.995820449953146,4,6,"B cell receptor complex","CC",0.807298988130018,0.000933271115258983
"GO:0005765",0.0360690806481678,0.97167738189502,128,445,"lysosomal membrane","CC",0.811353417222005,0.0298646756882874
"GO:0098852",0.0360690806481678,0.97167738189502,128,445,"lytic vacuole membrane","CC",0.811353417222005,0.0298646756882874
