"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","GeneRatio"
"GO:0003823",1.5212642017632e-20,1,89,147,"antigen binding","MF",7.51048136410493e-17,0.0207652823145124
"GO:0034987",2.80899719716971e-06,0.999999765694253,14,18,"immunoglobulin receptor binding","MF",0.00568684799020861,0.00326644890340644
"GO:0001227",4.29841871496321e-06,0.999998038767958,98,261,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF",0.00568684799020861,0.0228651423238451
"GO:0001217",4.60753331189679e-06,0.999997877806126,101,271,"DNA-binding transcription repressor activity","MF",0.00568684799020861,0.0235650956602893
"GO:0051020",7.55368821706365e-06,0.999996033683844,114,314,"GTPase binding","MF",0.00745851174552865,0.026598226784881
"GO:0019899",1.58361979720568e-05,0.999987674942384,576,1991,"enzyme binding","MF",0.0130305515646741,0.134391040597294
"GO:0031267",7.13703484263056e-05,0.999958536396063,100,280,"small GTPase binding","MF",0.0447413284412515,0.0233317778814746
"GO:0005488",7.24996207271647e-05,0.999947633968149,3718,14700,"binding","MF",0.0447413284412515,0.867475501633224
"GO:0030695",0.000200824923270844,0.999864331602924,156,474,"GTPase regulator activity","MF",0.110163627354239,0.0363975734951003
"GO:0060589",0.000223445344803959,0.999848472170256,156,475,"nucleoside-triphosphatase regulator activity","MF",0.110314966729714,0.0363975734951003
"GO:0008134",0.000251057056885627,0.99982430934109,179,567,"transcription factor binding","MF",0.112678971804031,0.0417638824078395
"GO:0005149",0.000384491616022635,0.999984612884514,7,8,"interleukin-1 receptor binding","MF",0.158186259025313,0.00163322445170322
"GO:0001222",0.000524330848985915,0.999819864707558,24,50,"transcription corepressor binding","MF",0.199124723187959,0.0055996266915539
"GO:0005515",0.000740215255901064,0.999380504888514,3358,13210,"protein binding","MF",0.261031622741682,0.783481101259916
"GO:0005126",0.000865920089443206,0.999481641855859,75,219,"cytokine receptor binding","MF",0.285003165438741,0.0174988334111059
"GO:0060090",0.000991527878940126,0.999203650516437,382,1326,"molecular adaptor activity","MF",0.305948321145463,0.0891273915072329
"GO:0031625",0.00114461954661341,0.999263467040686,95,286,"ubiquitin protein ligase binding","MF",0.314764335981174,0.0221651889874008
"GO:0035325",0.00114761151461639,0.999850262429266,9,13,"Toll-like receptor binding","MF",0.314764335981174,0.00209986000933271
"GO:0030020",0.00136686379509117,0.99954339863155,20,41,"extracellular matrix structural constituent conferring tensile strength","MF",0.355168766124478,0.00466635557629491
"GO:0005518",0.0020610555702728,0.999093738601111,29,70,"collagen binding","MF",0.508771567521839,0.00676621558562762
"GO:0032813",0.00266124753400984,0.998996544135457,21,47,"tumor necrosis factor receptor superfamily binding","MF",0.58845954194976,0.00489967335510966
"GO:0005164",0.00276894660563028,0.999175776873976,15,30,"tumor necrosis factor receptor binding","MF",0.58845954194976,0.00349976668222119
"GO:0044389",0.00293303760470979,0.998024059019767,98,305,"ubiquitin-like protein ligase binding","MF",0.58845954194976,0.0228651423238451
"GO:0030234",0.0029430344392732,0.997595239456493,366,1289,"enzyme regulator activity","MF",0.58845954194976,0.0853943070461969
"GO:0106310",0.00297984374088394,0.997938219446974,112,349,"protein serine kinase activity","MF",0.58845954194976,0.0261315912272515
