"pathway_id","count","pathway_name"
"hsa01100",339,"Metabolic pathways - Homo sapiens (human)"
"hsa05200",146,"Pathways in cancer - Homo sapiens (human)"
"hsa05022",114,"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"
"hsa05010",98,"Alzheimer disease - Homo sapiens (human)"
"hsa05165",92,"Human papillomavirus infection - Homo sapiens (human)"
"hsa04010",91,"MAPK signaling pathway - Homo sapiens (human)"
"hsa04151",90,"PI3K-Akt signaling pathway - Homo sapiens (human)"
"hsa05014",88,"Amyotrophic lateral sclerosis - Homo sapiens (human)"
"hsa05016",74,"Huntington disease - Homo sapiens (human)"
"hsa05132",74,"Salmonella infection - Homo sapiens (human)"
"hsa04060",71,"Cytokine-cytokine receptor interaction - Homo sapiens (human)"
"hsa04519",71,"Cadherin signaling - Homo sapiens (human)"
"hsa04517",70,"IgSF CAM signaling - Homo sapiens (human)"
"hsa04144",69,"Endocytosis - Homo sapiens (human)"
"hsa04820",68,"Cytoskeleton in muscle cells - Homo sapiens (human)"
"hsa05169",67,"Epstein-Barr virus infection - Homo sapiens (human)"
"hsa05417",67,"Lipid and atherosclerosis - Homo sapiens (human)"
"hsa04142",65,"Lysosome biogenesis - Homo sapiens (human)"
"hsa04621",65,"NOD-like receptor signaling pathway - Homo sapiens (human)"
"hsa05131",63,"Shigellosis - Homo sapiens (human)"
"hsa05166",62,"Human T-cell leukemia virus 1 infection - Homo sapiens (human)"
"hsa05012",60,"Parkinson disease - Homo sapiens (human)"
"hsa05020",60,"Prion disease - Homo sapiens (human)"
"hsa05167",60,"Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)"
"hsa04141",58,"Protein processing in endoplasmic reticulum - Homo sapiens (human)"
"hsa05170",56,"Human immunodeficiency virus 1 infection - Homo sapiens (human)"
"hsa05208",56,"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"
"hsa04014",55,"Ras signaling pathway - Homo sapiens (human)"
"hsa04810",55,"Regulation of actin cytoskeleton - Homo sapiens (human)"
"hsa05163",54,"Human cytomegalovirus infection - Homo sapiens (human)"
"hsa05202",54,"Transcriptional misregulation in cancer - Homo sapiens (human)"
"hsa04145",53,"Phagocytosis - Homo sapiens (human)"
"hsa04714",53,"Thermogenesis - Homo sapiens (human)"
"hsa05152",53,"Tuberculosis - Homo sapiens (human)"
"hsa05168",53,"Herpes simplex virus 1 infection - Homo sapiens (human)"
"hsa04062",51,"Chemokine signaling pathway - Homo sapiens (human)"
"hsa04080",51,"Neuroactive ligand-receptor interaction - Homo sapiens (human)"
"hsa05130",51,"Pathogenic Escherichia coli infection - Homo sapiens (human)"
"hsa05161",51,"Hepatitis B - Homo sapiens (human)"
"hsa05164",50,"Influenza A - Homo sapiens (human)"
"hsa05203",50,"Viral carcinogenesis - Homo sapiens (human)"
"hsa04020",49,"Calcium signaling pathway - Homo sapiens (human)"
"hsa04140",49,"Autophagy - animal - Homo sapiens (human)"
"hsa05135",47,"Yersinia infection - Homo sapiens (human)"
"hsa05171",47,"Coronavirus disease - Homo sapiens (human)"
"hsa04210",46,"Apoptosis - Homo sapiens (human)"
"hsa04510",46,"Focal adhesion - Homo sapiens (human)"
"hsa04668",46,"TNF signaling pathway - Homo sapiens (human)"
"hsa05206",45,"MicroRNAs in cancer - Homo sapiens (human)"
"hsa05415",45,"Diabetic cardiomyopathy - Homo sapiens (human)"
